rgb_total_r_mean,rgb_total_r_std,rgb_total_r_mean_minus_std,rgb_total_r_mean_plus_std,rgb_total_g_mean,rgb_total_g_std,class
69.4550169,72.7927459,-3.337728999,142.2477628,55.74307835,55.73407897,1
4.458791512,19.98448495,-15.52569344,24.44327646,3.018453664,15.78840097,1
16.31411332,30.01928702,-13.7051737,46.33340034,13.91264817,25.95346965,1
69.98230861,69.64866218,0.333646429,139.6309708,44.45282193,53.48920213,1
43.2806959,24.91860487,18.36209103,68.19930077,30.04205648,20.15734132,1
101.9012509,70.43023023,31.47102062,172.3314811,104.3968089,70.71031141,1
100.5485638,31.02946132,69.51910247,131.5780251,78.52255639,24.62965329,1
64.00459505,65.69779769,-1.693202641,129.7023927,63.62650005,65.03655528,1
68.4501249,71.53994532,-3.08982042,139.9900702,73.37956443,72.78391308,1
116.753542,74.16114722,42.59239473,190.9146892,115.299722,74.09248219,1
69.9399613,68.28771,1.652251305,138.2276713,68.7970495,67.86634905,1
71.70239334,67.14946774,4.552925606,138.8518611,71.87737253,65.4517621,1
97.40422345,73.2646299,24.13959355,170.6688533,97.58759692,73.60298858,1
83.59007029,83.41441331,0.175656979,167.0044836,82.75499914,82.00273173,1
90.7267125,67.37654249,23.35017002,158.103255,97.38191859,66.34418694,1
77.59895731,73.65442382,3.944533496,151.2533811,79.00723085,76.86324849,1
123.7952923,75.77459613,48.02069616,199.5698884,121.8292271,75.38952533,1
70.58917026,75.83047628,-5.241306022,146.4196465,75.46231203,79.61504124,1
62.7382537,71.99141867,-9.253164971,134.7296724,63.01338717,69.99284389,1
99.08159348,61.63425239,37.44734109,160.7158459,106.9582956,62.50262428,1
105.1348789,76.74811377,28.38676512,181.8829927,112.2822541,80.87877817,1
88.09502351,22.76072721,65.3342963,110.8557507,59.39566088,19.82206122,1
82.10329827,75.43972132,6.663576956,157.5430196,77.60004714,72.36039681,1
103.8299313,69.66758345,34.16234782,173.4975147,110.9817317,69.81986372,1
83.30070472,76.58673981,6.71396491,159.8874445,85.30734167,76.97314324,1
78.79827403,71.74555372,7.05272031,150.5438277,84.75616245,74.54053453,1
73.88966987,75.97722701,-2.087557148,149.8668969,75.34615314,75.87779556,1
64.34657866,30.48580034,33.86077833,94.832379,40.59858077,25.14323653,1
85.0723544,79.18457002,5.887784381,164.2569244,85.85237681,82.36972992,1
68.94451043,70.58409406,-1.639583632,139.5286045,69.21866428,69.37714343,1
63.56541744,71.64598789,-8.080570447,135.2114053,65.31964513,73.38754334,1
104.4999235,70.41852656,34.08139691,174.91845,110.2075792,72.44676758,1
32.93287418,26.68136776,6.251506419,59.61424194,26.46089344,23.16546318,1
74.43035714,57.30339292,17.12696422,131.7337501,67.93378399,39.22683027,1
106.6592072,44.37272536,62.28648188,151.0319326,82.96330084,42.54100658,1
100.1675126,50.32653304,49.84097958,150.4940456,81.41302165,46.60117181,1
103.5004408,49.85663911,53.64380172,153.3570799,79.37682149,44.53075354,1
96.02548553,67.11947614,28.90600939,163.1449617,79.77465591,61.10521261,1
105.2073711,59.22594943,45.98142162,164.4333205,82.7414834,50.80562962,1
37.25699206,27.99778034,9.259211721,65.25477241,32.1886633,27.24683553,1
95.11948349,56.49729461,38.62218889,151.6167781,62.40016103,54.00641978,1
